Reference,Value,Description,PartNo,MANUFACTURER
C1,10uF,10 µF ±10% 16V Ceramic Capacitor X7R 0805 (2012 Metric),CL21B106KOQNNNE,Samsung Electro-Mechanics
U1,AZ1117IH-3.3TRG1,"1A 20V Fixed LDO Linear Regulator, 3.3V, SOT-89/SOT-223/TO-220/TO-252/TO-263",AZ1117IH-3.3TRG1,Diodes Incorporated
R3,1K,1k 0604 Resistor,RC0603JR-071KL,YAGEO
R1,5K1,5K1 0603 Resistor,RC0603FR-075K1L,YAGEO
R2,5K1,5K1 0603 Resistor,RC0603FR-075K1L,YAGEO
C2,22uF,CAP CER 22UF 10V X7R 0805,GRM21BZ71A226ME15L,Murata Electronics
J1,USB4215-03-A_REVA,CONN RCP USB2.0 TYP C 24P SMD RA,USB4105-GF-A-060,Global Connector Technology
J2,Power Output,"Connector Header Through Hole 10 position 0.100"" (2.54mm)",PH1-10-UA,Adam Tech
D2,RED LED,LED RED CLEAR 1206 SMD,150120RS75000,WÃ¼rth Elektronik
D1,NSR0530HT1G,"Schottky diode, 30V, 500mA",NSR0530HT1G,onsemi
U2,NUP2114 (TVS),TVS Protection Diode,NUP2114UPXV5T1G,Diodes Incorporated
